row,Continuous Monitoring v0.1.0 (x_org.owasp#aivss),Retraining Capabilities v0.1.0 (x_org.owasp#aivss),Threat Intelligence Integration v0.1.0 (x_org.owasp#aivss),Adversarial Training v0.1.0 (x_org.owasp#aivss),Adaptability v0.1.0 (x_org.owasp#aivss)
0,real-time automation,continuous automated retraining,proactive hunting,continuous adversarial training,none
1,comprehensive monitoring,continuous automated retraining,proactive hunting,continuous adversarial training,none
2,real-time automation,automated pipeline,proactive hunting,continuous adversarial training,none
3,real-time automation,continuous automated retraining,integrated feeds,continuous adversarial training,none
4,real-time automation,continuous automated retraining,proactive hunting,robust adversarial training,none
5,basic monitoring,continuous automated retraining,proactive hunting,continuous adversarial training,none
6,comprehensive monitoring,automated pipeline,proactive hunting,continuous adversarial training,none
7,real-time automation,manual retraining,proactive hunting,continuous adversarial training,none
8,comprehensive monitoring,continuous automated retraining,integrated feeds,continuous adversarial training,none
9,real-time automation,automated pipeline,integrated feeds,continuous adversarial training,none
10,real-time automation,continuous automated retraining,basic use,continuous adversarial training,none
11,comprehensive monitoring,continuous automated retraining,proactive hunting,robust adversarial training,none
12,real-time automation,automated pipeline,proactive hunting,robust adversarial training,none
13,real-time automation,continuous automated retraining,integrated feeds,robust adversarial training,none
14,real-time automation,continuous automated retraining,proactive hunting,basic adversarial training,none
15,none,continuous automated retraining,proactive hunting,continuous adversarial training,none
16,basic monitoring,automated pipeline,proactive hunting,continuous adversarial training,none
17,comprehensive monitoring,manual retraining,proactive hunting,continuous adversarial training,none
18,real-time automation,none,proactive hunting,continuous adversarial training,none
19,basic monitoring,continuous automated retraining,integrated feeds,continuous adversarial training,none
20,comprehensive monitoring,automated pipeline,integrated feeds,continuous adversarial training,none
21,real-time automation,manual retraining,integrated feeds,continuous adversarial training,none
22,comprehensive monitoring,continuous automated retraining,basic use,continuous adversarial training,none
23,real-time automation,automated pipeline,basic use,continuous adversarial training,none
24,real-time automation,continuous automated retraining,none,continuous adversarial training,none
25,basic monitoring,continuous automated retraining,proactive hunting,robust adversarial training,none
26,comprehensive monitoring,automated pipeline,proactive hunting,robust adversarial training,none
27,real-time automation,manual retraining,proactive hunting,robust adversarial training,none
28,comprehensive monitoring,continuous automated retraining,integrated feeds,robust adversarial training,none
29,real-time automation,automated pipeline,integrated feeds,robust adversarial training,none
30,real-time automation,continuous automated retraining,basic use,robust adversarial training,none
31,comprehensive monitoring,continuous automated retraining,proactive hunting,basic adversarial training,none
32,real-time automation,automated pipeline,proactive hunting,basic adversarial training,none
33,real-time automation,continuous automated retraining,integrated feeds,basic adversarial training,none
34,real-time automation,continuous automated retraining,proactive hunting,none,none
35,none,automated pipeline,proactive hunting,continuous adversarial training,none
36,basic monitoring,manual retraining,proactive hunting,continuous adversarial training,none
37,comprehensive monitoring,none,proactive hunting,continuous adversarial training,none
38,none,continuous automated retraining,integrated feeds,continuous adversarial training,none
39,basic monitoring,automated pipeline,integrated feeds,continuous adversarial training,none
40,comprehensive monitoring,manual retraining,integrated feeds,continuous adversarial training,none
41,real-time automation,none,integrated feeds,continuous adversarial training,none
42,basic monitoring,continuous automated retraining,basic use,continuous adversarial training,none
43,comprehensive monitoring,automated pipeline,basic use,continuous adversarial training,none
44,real-time automation,manual retraining,basic use,continuous adversarial training,none
45,comprehensive monitoring,continuous automated retraining,none,continuous adversarial training,none
46,real-time automation,automated pipeline,none,continuous adversarial training,none
47,none,continuous automated retraining,proactive hunting,robust adversarial training,none
48,basic monitoring,automated pipeline,proactive hunting,robust adversarial training,none
