row,Model Inversion v0.1.0 (x_org.owasp#aivss),Model Extraction v0.1.0 (x_org.owasp#aivss),Membership Inference v0.1.0 (x_org.owasp#aivss),Adversarial Attack Surface v0.1.0 (x_org.owasp#aivss)
0,provably resistant,provably resistant,provably resistant,none
1,strong defenses,provably resistant,provably resistant,none
2,provably resistant,strong defenses,provably resistant,none
3,provably resistant,provably resistant,strong defenses,none
4,some mitigation,provably resistant,provably resistant,none
5,strong defenses,strong defenses,provably resistant,none
6,provably resistant,some mitigation,provably resistant,none
7,strong defenses,provably resistant,strong defenses,none
8,provably resistant,strong defenses,strong defenses,none
9,provably resistant,provably resistant,some mitigation,none
10,high risk,provably resistant,provably resistant,none
11,some mitigation,strong defenses,provably resistant,none
12,strong defenses,some mitigation,provably resistant,none
13,provably resistant,high risk,provably resistant,none
14,some mitigation,provably resistant,strong defenses,none
15,strong defenses,strong defenses,strong defenses,none
16,provably resistant,some mitigation,strong defenses,low
17,strong defenses,provably resistant,some mitigation,low
18,provably resistant,strong defenses,some mitigation,low
19,provably resistant,provably resistant,high risk,low
20,high risk,strong defenses,provably resistant,low
21,some mitigation,some mitigation,provably resistant,low
22,strong defenses,high risk,provably resistant,low
23,high risk,provably resistant,strong defenses,low
24,some mitigation,strong defenses,strong defenses,low
25,strong defenses,some mitigation,strong defenses,low
26,provably resistant,high risk,strong defenses,low
27,some mitigation,provably resistant,some mitigation,low
28,strong defenses,strong defenses,some mitigation,low
29,provably resistant,some mitigation,some mitigation,low
30,strong defenses,provably resistant,high risk,low
31,provably resistant,strong defenses,high risk,low
32,high risk,some mitigation,provably resistant,medium
33,some mitigation,high risk,provably resistant,medium
34,high risk,strong defenses,strong defenses,medium
35,some mitigation,some mitigation,strong defenses,medium
36,strong defenses,high risk,strong defenses,medium
37,high risk,provably resistant,some mitigation,medium
38,some mitigation,strong defenses,some mitigation,medium
39,strong defenses,some mitigation,some mitigation,medium
40,provably resistant,high risk,some mitigation,medium
41,some mitigation,provably resistant,high risk,medium
42,strong defenses,strong defenses,high risk,medium
43,provably resistant,some mitigation,high risk,medium
44,high risk,high risk,provably resistant,medium
45,high risk,some mitigation,strong defenses,medium
46,some mitigation,high risk,strong defenses,medium
47,high risk,strong defenses,some mitigation,medium
48,some mitigation,some mitigation,some mitigation,high
49,strong defenses,high risk,some mitigation,high
50,high risk,provably resistant,high risk,high
51,some mitigation,strong defenses,high risk,high
52,strong defenses,some mitigation,high risk,high
53,provably resistant,high risk,high risk,high
54,high risk,high risk,strong defenses,high
55,high risk,some mitigation,some mitigation,high
56,some mitigation,high risk,some mitigation,high
57,high risk,strong defenses,high risk,high
58,some mitigation,some mitigation,high risk,high
59,strong defenses,high risk,high risk,high
60,high risk,high risk,some mitigation,high
61,high risk,some mitigation,high risk,high
62,some mitigation,high risk,high risk,high
63,high risk,high risk,high risk,high
