row,Bias and Discrimination v0.1.0 (x_org.owasp#aivss),Transparency and Explainability v0.1.0 (x_org.owasp#aivss),Accountability v0.1.0 (x_org.owasp#aivss),Societal Impact v0.1.0 (x_org.owasp#aivss),Ethical Implications v0.1.0 (x_org.owasp#aivss)
0,fair and unbiased,fully transparent,full accountability,maximized positive impact,none
1,rigorous testing,fully transparent,full accountability,maximized positive impact,none
2,fair and unbiased,highly explainable,full accountability,maximized positive impact,none
3,fair and unbiased,fully transparent,accountability framework,maximized positive impact,none
4,fair and unbiased,fully transparent,full accountability,thorough assessment,none
5,awareness,fully transparent,full accountability,maximized positive impact,none
6,rigorous testing,highly explainable,full accountability,maximized positive impact,none
7,fair and unbiased,limited explainability,full accountability,maximized positive impact,none
8,rigorous testing,fully transparent,accountability framework,maximized positive impact,none
9,fair and unbiased,highly explainable,accountability framework,maximized positive impact,none
10,fair and unbiased,fully transparent,some responsibility,maximized positive impact,none
11,rigorous testing,fully transparent,full accountability,thorough assessment,none
12,fair and unbiased,highly explainable,full accountability,thorough assessment,none
13,fair and unbiased,fully transparent,accountability framework,thorough assessment,none
14,fair and unbiased,fully transparent,full accountability,some consideration,none
15,high risk,fully transparent,full accountability,maximized positive impact,none
16,awareness,highly explainable,full accountability,maximized positive impact,none
17,rigorous testing,limited explainability,full accountability,maximized positive impact,none
18,fair and unbiased,black box,full accountability,maximized positive impact,none
19,awareness,fully transparent,accountability framework,maximized positive impact,none
20,rigorous testing,highly explainable,accountability framework,maximized positive impact,none
21,fair and unbiased,limited explainability,accountability framework,maximized positive impact,none
22,rigorous testing,fully transparent,some responsibility,maximized positive impact,none
23,fair and unbiased,highly explainable,some responsibility,maximized positive impact,none
24,fair and unbiased,fully transparent,none,maximized positive impact,none
25,awareness,fully transparent,full accountability,thorough assessment,none
26,rigorous testing,highly explainable,full accountability,thorough assessment,none
27,fair and unbiased,limited explainability,full accountability,thorough assessment,none
28,rigorous testing,fully transparent,accountability framework,thorough assessment,none
29,fair and unbiased,highly explainable,accountability framework,thorough assessment,none
30,fair and unbiased,fully transparent,some responsibility,thorough assessment,none
31,rigorous testing,fully transparent,full accountability,some consideration,none
32,fair and unbiased,highly explainable,full accountability,some consideration,none
33,fair and unbiased,fully transparent,accountability framework,some consideration,none
34,fair and unbiased,fully transparent,full accountability,high risk,none
35,high risk,highly explainable,full accountability,maximized positive impact,none
36,awareness,limited explainability,full accountability,maximized positive impact,none
37,rigorous testing,black box,full accountability,maximized positive impact,none
38,high risk,fully transparent,accountability framework,maximized positive impact,none
39,awareness,highly explainable,accountability framework,maximized positive impact,none
40,rigorous testing,limited explainability,accountability framework,maximized positive impact,none
41,fair and unbiased,black box,accountability framework,maximized positive impact,none
42,awareness,fully transparent,some responsibility,maximized positive impact,none
43,rigorous testing,highly explainable,some responsibility,maximized positive impact,none
44,fair and unbiased,limited explainability,some responsibility,maximized positive impact,none
45,rigorous testing,fully transparent,none,maximized positive impact,none
46,fair and unbiased,highly explainable,none,maximized positive impact,none
47,high risk,fully transparent,full accountability,thorough assessment,none
48,awareness,highly explainable,full accountability,thorough assessment,none
49,rigorous testing,limited explainability,full accountability,thorough assessment,none
50,fair and unbiased,black box,full accountability,thorough assessment,none
51,awareness,fully transparent,accountability framework,thorough assessment,none
52,rigorous testing,highly explainable,accountability framework,thorough assessment,none
53,fair and unbiased,limited explainability,accountability framework,thorough assessment,none
54,rigorous testing,fully transparent,some responsibility,thorough assessment,none
55,fair and unbiased,highly explainable,some responsibility,thorough assessment,none
56,fair and unbiased,fully transparent,none,thorough assessment,none
57,awareness,fully transparent,full accountability,some consideration,none
58,rigorous testing,highly explainable,full accountability,some consideration,none
59,fair and unbiased,limited explainability,full accountability,some consideration,none
60,rigorous testing,fully transparent,accountability framework,some consideration,none
61,fair and unbiased,highly explainable,accountability framework,some consideration,none
62,fair and unbiased,fully transparent,some responsibility,some consideration,none
63,rigorous testing,fully transparent,full accountability,high risk,none
64,fair and unbiased,highly explainable,full accountability,high risk,low
65,fair and unbiased,fully transparent,accountability framework,high risk,low
66,high risk,limited explainability,full accountability,maximized positive impact,low
67,awareness,black box,full accountability,maximized positive impact,low
68,high risk,highly explainable,accountability framework,maximized positive impact,low
69,awareness,limited explainability,accountability framework,maximized positive impact,low
70,rigorous testing,black box,accountability framework,maximized positive impact,low
71,high risk,fully transparent,some responsibility,maximized positive impact,low
72,awareness,highly explainable,some responsibility,maximized positive impact,low
73,rigorous testing,limited explainability,some responsibility,maximized positive impact,low
74,fair and unbiased,black box,some responsibility,maximized positive impact,low
75,awareness,fully transparent,none,maximized positive impact,low
76,rigorous testing,highly explainable,none,maximized positive impact,low
77,fair and unbiased,limited explainability,none,maximized positive impact,low
78,high risk,highly explainable,full accountability,thorough assessment,low
79,awareness,limited explainability,full accountability,thorough assessment,low
80,rigorous testing,black box,full accountability,thorough assessment,low
81,high risk,fully transparent,accountability framework,thorough assessment,low
82,awareness,highly explainable,accountability framework,thorough assessment,low
83,rigorous testing,limited explainability,accountability framework,thorough assessment,low
84,fair and unbiased,black box,accountability framework,thorough assessment,low
85,awareness,fully transparent,some responsibility,thorough assessment,low
86,rigorous testing,highly explainable,some responsibility,thorough assessment,low
87,fair and unbiased,limited explainability,some responsibility,thorough assessment,low
88,rigorous testing,fully transparent,none,thorough assessment,low
89,fair and unbiased,highly explainable,none,thorough assessment,low
90,high risk,fully transparent,full accountability,some consideration,low
91,awareness,highly explainable,full accountability,some consideration,low
92,rigorous testing,limited explainability,full accountability,some consideration,low
93,fair and unbiased,black box,full accountability,some consideration,low
94,awareness,fully transparent,accountability framework,some consideration,low
95,rigorous testing,highly explainable,accountability framework,some consideration,low
96,fair and unbiased,limited explainability,accountability framework,some consideration,low
97,rigorous testing,fully transparent,some responsibility,some consideration,low
98,fair and unbiased,highly explainable,some responsibility,some consideration,low
99,fair and unbiased,fully transparent,none,some consideration,low
100,awareness,fully transparent,full accountability,high risk,low
101,rigorous testing,highly explainable,full accountability,high risk,low
102,fair and unbiased,limited explainability,full accountability,high risk,low
103,rigorous testing,fully transparent,accountability framework,high risk,low
104,fair and unbiased,highly explainable,accountability framework,high risk,low
105,fair and unbiased,fully transparent,some responsibility,high risk,low
106,high risk,black box,full accountability,maximized positive impact,low
107,high risk,limited explainability,accountability framework,maximized positive impact,low
108,awareness,black box,accountability framework,maximized positive impact,low
109,high risk,highly explainable,some responsibility,maximized positive impact,low
110,awareness,limited explainability,some responsibility,maximized positive impact,low
111,rigorous testing,black box,some responsibility,maximized positive impact,low
112,high risk,fully transparent,none,maximized positive impact,low
113,awareness,highly explainable,none,maximized positive impact,low
114,rigorous testing,limited explainability,none,maximized positive impact,low
115,fair and unbiased,black box,none,maximized positive impact,low
116,high risk,limited explainability,full accountability,thorough assessment,low
117,awareness,black box,full accountability,thorough assessment,low
118,high risk,highly explainable,accountability framework,thorough assessment,low
119,awareness,limited explainability,accountability framework,thorough assessment,low
120,rigorous testing,black box,accountability framework,thorough assessment,low
121,high risk,fully transparent,some responsibility,thorough assessment,low
122,awareness,highly explainable,some responsibility,thorough assessment,low
123,rigorous testing,limited explainability,some responsibility,thorough assessment,low
124,fair and unbiased,black box,some responsibility,thorough assessment,low
