row,Development v0.1.0 (x_org.owasp#aivss),Deployment v0.1.0 (x_org.owasp#aivss),Operations v0.1.0 (x_org.owasp#aivss),Training v0.1.0 (x_org.owasp#aivss),Lifecycle Vulnerabilities v0.1.0 (x_org.owasp#aivss)
0,formal verification,formal verification,continuous monitoring,formal verification,none
1,sdl practices,formal verification,continuous monitoring,formal verification,none
2,formal verification,secure environment,continuous monitoring,formal verification,none
3,formal verification,formal verification,comprehensive monitoring,formal verification,none
4,formal verification,formal verification,continuous monitoring,secure environment,none
5,basic security measures,formal verification,continuous monitoring,formal verification,none
6,sdl practices,secure environment,continuous monitoring,formal verification,none
7,formal verification,basic security measures,continuous monitoring,formal verification,none
8,sdl practices,formal verification,comprehensive monitoring,formal verification,none
9,formal verification,secure environment,comprehensive monitoring,formal verification,none
10,formal verification,formal verification,basic monitoring,formal verification,none
11,sdl practices,formal verification,continuous monitoring,secure environment,none
12,formal verification,secure environment,continuous monitoring,secure environment,none
13,formal verification,formal verification,comprehensive monitoring,secure environment,none
14,formal verification,formal verification,continuous monitoring,basic security measures,none
15,insecure environment,formal verification,continuous monitoring,formal verification,none
16,basic security measures,secure environment,continuous monitoring,formal verification,none
17,sdl practices,basic security measures,continuous monitoring,formal verification,none
18,formal verification,insecure environment,continuous monitoring,formal verification,none
19,basic security measures,formal verification,comprehensive monitoring,formal verification,none
20,sdl practices,secure environment,comprehensive monitoring,formal verification,none
21,formal verification,basic security measures,comprehensive monitoring,formal verification,none
22,sdl practices,formal verification,basic monitoring,formal verification,none
23,formal verification,secure environment,basic monitoring,formal verification,none
24,formal verification,formal verification,none,formal verification,none
25,basic security measures,formal verification,continuous monitoring,secure environment,none
26,sdl practices,secure environment,continuous monitoring,secure environment,none
27,formal verification,basic security measures,continuous monitoring,secure environment,none
28,sdl practices,formal verification,comprehensive monitoring,secure environment,none
29,formal verification,secure environment,comprehensive monitoring,secure environment,none
30,formal verification,formal verification,basic monitoring,secure environment,none
31,sdl practices,formal verification,continuous monitoring,basic security measures,none
32,formal verification,secure environment,continuous monitoring,basic security measures,none
33,formal verification,formal verification,comprehensive monitoring,basic security measures,none
34,formal verification,formal verification,continuous monitoring,insecure environment,none
35,insecure environment,secure environment,continuous monitoring,formal verification,none
36,basic security measures,basic security measures,continuous monitoring,formal verification,none
37,sdl practices,insecure environment,continuous monitoring,formal verification,none
38,insecure environment,formal verification,comprehensive monitoring,formal verification,none
39,basic security measures,secure environment,comprehensive monitoring,formal verification,none
40,sdl practices,basic security measures,comprehensive monitoring,formal verification,none
41,formal verification,insecure environment,comprehensive monitoring,formal verification,none
42,basic security measures,formal verification,basic monitoring,formal verification,none
43,sdl practices,secure environment,basic monitoring,formal verification,none
44,formal verification,basic security measures,basic monitoring,formal verification,none
45,sdl practices,formal verification,none,formal verification,none
46,formal verification,secure environment,none,formal verification,none
47,insecure environment,formal verification,continuous monitoring,secure environment,none
48,basic security measures,secure environment,continuous monitoring,secure environment,none
49,sdl practices,basic security measures,continuous monitoring,secure environment,none
50,formal verification,insecure environment,continuous monitoring,secure environment,none
51,basic security measures,formal verification,comprehensive monitoring,secure environment,none
52,sdl practices,secure environment,comprehensive monitoring,secure environment,none
53,formal verification,basic security measures,comprehensive monitoring,secure environment,none
54,sdl practices,formal verification,basic monitoring,secure environment,none
55,formal verification,secure environment,basic monitoring,secure environment,none
56,formal verification,formal verification,none,secure environment,none
57,basic security measures,formal verification,continuous monitoring,basic security measures,none
58,sdl practices,secure environment,continuous monitoring,basic security measures,none
59,formal verification,basic security measures,continuous monitoring,basic security measures,none
60,sdl practices,formal verification,comprehensive monitoring,basic security measures,none
61,formal verification,secure environment,comprehensive monitoring,basic security measures,none
62,formal verification,formal verification,basic monitoring,basic security measures,none
63,sdl practices,formal verification,continuous monitoring,insecure environment,none
64,formal verification,secure environment,continuous monitoring,insecure environment,low
65,formal verification,formal verification,comprehensive monitoring,insecure environment,low
66,insecure environment,basic security measures,continuous monitoring,formal verification,low
67,basic security measures,insecure environment,continuous monitoring,formal verification,low
68,insecure environment,secure environment,comprehensive monitoring,formal verification,low
